Emo,CLDR Short Name,Other Keywords,theme,category,№,Code,sentimiento,confianzaSentimiento
🐧,penguin,bird | penguin,Animals & Nature,animal-bird,554,U+1F427,POSITIVE,0.6432275176048279
🕊,dove,bird | dove | fly | peace,Animals & Nature,animal-bird,555,U+1F54A,POSITIVE,0.9940285682678223
🦅,eagle,bird | eagle,Animals & Nature,animal-bird,556,U+1F985,POSITIVE,0.5225098729133606
🦆,duck,bird | duck,Animals & Nature,animal-bird,557,U+1F986,NEGATIVE,0.8024026155471802
🦢,swan,bird | cygnet | swan | ugly duckling,Animals & Nature,animal-bird,558,U+1F9A2,NEGATIVE,0.8606064915657043
🦉,owl,bird | owl | wise,Animals & Nature,animal-bird,559,U+1F989,POSITIVE,0.9970775842666626
🦩,flamingo,flamboyant | flamingo | tropical,Animals & Nature,animal-bird,560,U+1F9A9,POSITIVE,0.9996082186698914
🦚,peacock,bird | ostentatious | peacock | peahen | proud,Animals & Nature,animal-bird,561,U+1F99A,POSITIVE,0.9984645843505859
🦜,parrot,bird | parrot | pirate | talk,Animals & Nature,animal-bird,562,U+1F99C,NEGATIVE,0.848028302192688
🐸,frog,face | frog,Animals & Nature,animal-amphibian,563,U+1F438,NEGATIVE,0.8176906108856201
🐊,crocodile,crocodile,Animals & Nature,animal-reptile,564,U+1F40A,NEGATIVE,0.58534175157547
🐢,turtle,terrapin | tortoise | turtle,Animals & Nature,animal-reptile,565,U+1F422,NEGATIVE,0.8288487195968628
🦎,lizard,lizard | reptile,Animals & Nature,animal-reptile,566,U+1F98E,NEGATIVE,0.9995965361595154
🐍,snake,bearer | Ophiuchus | serpent | snake | zodiac,Animals & Nature,animal-reptile,567,U+1F40D,POSITIVE,0.9079005718231201
🐲,dragon face,dragon | face | fairy tale,Animals & Nature,animal-reptile,568,U+1F432,POSITIVE,0.9934717416763306
🐉,dragon,dragon | fairy tale,Animals & Nature,animal-reptile,569,U+1F409,POSITIVE,0.9858992099761963
🦕,sauropod,brachiosaurus | brontosaurus | diplodocus | sauropod,Animals & Nature,animal-reptile,570,U+1F995,POSITIVE,0.9858647584915161
🦖,T-Rex,T-Rex | Tyrannosaurus Rex,Animals & Nature,animal-reptile,571,U+1F996,NEGATIVE,0.8081549406051636
🐳,spouting whale,face | spouting | whale,Animals & Nature,animal-marine,572,U+1F433,NEGATIVE,0.7023517489433289
🐋,whale,whale,Animals & Nature,animal-marine,573,U+1F40B,POSITIVE,0.8883866667747498
🐬,dolphin,dolphin | flipper,Animals & Nature,animal-marine,574,U+1F42C,POSITIVE,0.6443188786506653
🐟,fish,fish | Pisces | zodiac,Animals & Nature,animal-marine,575,U+1F41F,POSITIVE,0.9924615025520325
🐠,tropical fish,fish | tropical,Animals & Nature,animal-marine,576,U+1F420,POSITIVE,0.9710783362388611
🐡,blowfish,blowfish | fish,Animals & Nature,animal-marine,577,U+1F421,POSITIVE,0.8411090970039368
🦈,shark,fish | shark,Animals & Nature,animal-marine,578,U+1F988,NEGATIVE,0.8290055990219116
🐙,octopus,octopus,Animals & Nature,animal-marine,579,U+1F419,POSITIVE,0.9848023056983948
🐚,spiral shell,shell | spiral,Animals & Nature,animal-marine,580,U+1F41A,POSITIVE,0.8663524389266968
🐌,snail,snail,Animals & Nature,animal-bug,581,U+1F40C,NEGATIVE,0.925235390663147
🦋,butterfly,butterfly | insect | pretty,Animals & Nature,animal-bug,582,U+1F98B,POSITIVE,0.9956724643707275
🐛,bug,bug | insect,Animals & Nature,animal-bug,583,U+1F41B,NEGATIVE,0.9996905326843262
🐜,ant,ant | insect,Animals & Nature,animal-bug,584,U+1F41C,NEGATIVE,0.9869758486747742
🐝,honeybee,bee | honeybee | insect,Animals & Nature,animal-bug,585,U+1F41D,NEGATIVE,0.7352975010871887
🐞,lady beetle,beetle | insect | lady beetle | ladybird | ladybug,Animals & Nature,animal-bug,586,U+1F41E,POSITIVE,0.7163690328598022
🦗,cricket,cricket | grasshopper | Orthoptera,Animals & Nature,animal-bug,587,U+1F997,POSITIVE,0.9795560240745544
🕷,spider,insect | spider,Animals & Nature,animal-bug,588,U+1F577,NEGATIVE,0.9981100559234619
🕸,spider web,spider | web,Animals & Nature,animal-bug,589,U+1F578,NEGATIVE,0.9781014919281006
🦂,scorpion,scorpio | Scorpio | scorpion | zodiac,Animals & Nature,animal-bug,590,U+1F982,POSITIVE,0.9934585690498352
🦟,mosquito,disease | fever | malaria | mosquito | pest | virus,Animals & Nature,animal-bug,591,U+1F99F,NEGATIVE,0.9994058609008789
🦠,microbe,amoeba | bacteria | microbe | virus,Animals & Nature,animal-bug,592,U+1F9A0,NEGATIVE,0.9933027029037476
💐,bouquet,bouquet | flower,Animals & Nature,plant-flower,593,U+1F490,POSITIVE,0.9991425275802612
🌸,cherry blossom,blossom | cherry | flower,Animals & Nature,plant-flower,594,U+1F338,POSITIVE,0.9998393058776855
💮,white flower,flower | white flower,Animals & Nature,plant-flower,595,U+1F4AE,POSITIVE,0.9971892237663269
🏵,rosette,plant | rosette,Animals & Nature,plant-flower,596,U+1F3F5,POSITIVE,0.9955031275749207
🌹,rose,flower | rose,Animals & Nature,plant-flower,597,U+1F339,POSITIVE,0.9993706345558167
🥀,wilted flower,flower | wilted,Animals & Nature,plant-flower,598,U+1F940,NEGATIVE,0.9995259046554565
🌺,hibiscus,flower | hibiscus,Animals & Nature,plant-flower,599,U+1F33A,NEGATIVE,0.999596893787384
🌻,sunflower,flower | sun | sunflower,Animals & Nature,plant-flower,600,U+1F33B,POSITIVE,0.9998762607574463
🌼,blossom,blossom | flower,Animals & Nature,plant-flower,601,U+1F33C,POSITIVE,0.9997705817222595
🌷,tulip,flower | tulip,Animals & Nature,plant-flower,602,U+1F337,POSITIVE,0.9858086705207825
🌱,seedling,seedling | young,Animals & Nature,plant-other,603,U+1F331,POSITIVE,0.9937527775764465
🌲,evergreen tree,evergreen tree | tree,Animals & Nature,plant-other,604,U+1F332,POSITIVE,0.9986618757247925
🌳,deciduous tree,deciduous | shedding | tree,Animals & Nature,plant-other,605,U+1F333,POSITIVE,0.9767663478851318
🌴,palm tree,palm | tree,Animals & Nature,plant-other,606,U+1F334,POSITIVE,0.85020911693573
🌵,cactus,cactus | plant,Animals & Nature,plant-other,607,U+1F335,POSITIVE,0.963954746723175
🌾,sheaf of rice,ear | grain | rice | sheaf of rice,Animals & Nature,plant-other,608,U+1F33E,NEGATIVE,0.9026978611946106
🌿,herb,herb | leaf,Animals & Nature,plant-other,609,U+1F33F,POSITIVE,0.8957260847091675
☘,shamrock,plant | shamrock,Animals & Nature,plant-other,610,U+2618,POSITIVE,0.9602628946304321
🍀,four leaf clover,4 | clover | four | four-leaf clover | leaf,Animals & Nature,plant-other,611,U+1F340,POSITIVE,0.9745578169822693
🍁,maple leaf,falling | leaf | maple,Animals & Nature,plant-other,612,U+1F341,NEGATIVE,0.9628453254699707
🍂,fallen leaf,fallen leaf | falling | leaf,Animals & Nature,plant-other,613,U+1F342,NEGATIVE,0.9989239573478699
🍃,leaf fluttering in wind,blow | flutter | leaf | leaf fluttering in wind | wind,Animals & Nature,plant-other,614,U+1F343,POSITIVE,0.7438253164291382
🍇,grapes,fruit | grape | grapes,Food & Drink,food-fruit,615,U+1F347,POSITIVE,0.988045871257782
🍈,melon,fruit | melon,Food & Drink,food-fruit,616,U+1F348,POSITIVE,0.9993891716003418
🍉,watermelon,fruit | watermelon,Food & Drink,food-fruit,617,U+1F349,POSITIVE,0.9789794683456421
🍊,tangerine,fruit | orange | tangerine,Food & Drink,food-fruit,618,U+1F34A,POSITIVE,0.9922425746917725
🍋,lemon,citrus | fruit | lemon,Food & Drink,food-fruit,619,U+1F34B,POSITIVE,0.979905903339386
🍌,banana,banana | fruit,Food & Drink,food-fruit,620,U+1F34C,POSITIVE,0.9933362007141113
🍍,pineapple,fruit | pineapple,Food & Drink,food-fruit,621,U+1F34D,POSITIVE,0.9921561479568481
🥭,mango,fruit | mango | tropical,Food & Drink,food-fruit,622,U+1F96D,POSITIVE,0.999101996421814
🍎,red apple,apple | fruit | red,Food & Drink,food-fruit,623,U+1F34E,POSITIVE,0.9959673881530762
🍏,green apple,apple | fruit | green,Food & Drink,food-fruit,624,U+1F34F,POSITIVE,0.9938513040542603
🍐,pear,fruit | pear,Food & Drink,food-fruit,625,U+1F350,POSITIVE,0.9689309597015381
🍑,peach,fruit | peach,Food & Drink,food-fruit,626,U+1F351,POSITIVE,0.9986427426338196
🍒,cherries,berries | cherries | cherry | fruit | red,Food & Drink,food-fruit,627,U+1F352,POSITIVE,0.9993261098861694
🍓,strawberry,berry | fruit | strawberry,Food & Drink,food-fruit,628,U+1F353,POSITIVE,0.9978618025779724
🥝,kiwi fruit,food | fruit | kiwi,Food & Drink,food-fruit,629,U+1F95D,POSITIVE,0.9982507824897766
🍅,tomato,fruit | tomato | vegetable,Food & Drink,food-fruit,630,U+1F345,POSITIVE,0.9869049191474915
🥥,coconut,coconut | palm | piña colada,Food & Drink,food-fruit,631,U+1F965,POSITIVE,0.9861927628517151
🥑,avocado,avocado | food | fruit,Food & Drink,food-vegetable,632,U+1F951,POSITIVE,0.9997339844703674
🍆,eggplant,aubergine | eggplant | vegetable,Food & Drink,food-vegetable,633,U+1F346,POSITIVE,0.9707679748535156
🥔,potato,food | potato | vegetable,Food & Drink,food-vegetable,634,U+1F954,POSITIVE,0.9588491916656494
🥕,carrot,carrot | food | vegetable,Food & Drink,food-vegetable,635,U+1F955,POSITIVE,0.9912962913513184
🌽,ear of corn,corn | ear | ear of corn | maize | maze,Food & Drink,food-vegetable,636,U+1F33D,NEGATIVE,0.999651312828064
🌶,hot pepper,hot | pepper,Food & Drink,food-vegetable,637,U+1F336,POSITIVE,0.999729573726654
🥒,cucumber,cucumber | food | pickle | vegetable,Food & Drink,food-vegetable,638,U+1F952,POSITIVE,0.998492956161499
🥬,leafy green,bok choy | cabbage | kale | leafy green | lettuce,Food & Drink,food-vegetable,639,U+1F96C,POSITIVE,0.9982445240020752
🥦,broccoli,broccoli | wild cabbage,Food & Drink,food-vegetable,640,U+1F966,NEGATIVE,0.9671193957328796
🧄,garlic,flavoring | garlic,Food & Drink,food-vegetable,641,U+1F9C4,POSITIVE,0.716846227645874
🧅,onion,flavoring | onion,Food & Drink,food-vegetable,642,U+1F9C5,POSITIVE,0.9878425598144531
🍄,mushroom,mushroom | toadstool,Food & Drink,food-vegetable,643,U+1F344,NEGATIVE,0.9906002283096313
🥜,peanuts,food | nut | peanut | peanuts | vegetable,Food & Drink,food-vegetable,644,U+1F95C,POSITIVE,0.9868907332420349
🌰,chestnut,chestnut | plant,Food & Drink,food-vegetable,645,U+1F330,NEGATIVE,0.7858970165252686
🍞,bread,bread | loaf,Food & Drink,food-prepared,646,U+1F35E,NEGATIVE,0.7787381410598755
🥐,croissant,bread | breakfast | croissant | food | french | roll,Food & Drink,food-prepared,647,U+1F950,POSITIVE,0.9997879862785339
🥖,baguette bread,baguette | bread | food | french,Food & Drink,food-prepared,648,U+1F956,POSITIVE,0.9992096424102783
🥨,pretzel,pretzel | twisted | convoluted,Food & Drink,food-prepared,649,U+1F968,NEGATIVE,0.9999244213104248
🥯,bagel,bagel | bakery | breakfast | schmear,Food & Drink,food-prepared,650,U+1F96F,NEGATIVE,0.999541163444519
🥞,pancakes,breakfast | crêpe | food | hotcake | pancake | pancakes,Food & Drink,food-prepared,651,U+1F95E,POSITIVE,0.9998371601104736
🧇,waffle,breakfast | indecisive | iron | waffle,Food & Drink,food-prepared,652,U+1F9C7,POSITIVE,0.8758783936500549
🧀,cheese wedge,cheese | cheese wedge,Food & Drink,food-prepared,653,U+1F9C0,NEGATIVE,0.9992974996566772
🍖,meat on bone,bone | meat | meat on bone,Food & Drink,food-prepared,654,U+1F356,NEGATIVE,0.9733573794364929
🍗,poultry leg,bone | chicken | drumstick | leg | poultry,Food & Drink,food-prepared,655,U+1F357,NEGATIVE,0.9849002361297607
🥩,cut of meat,chop | cut of meat | lambchop | porkchop | steak,Food & Drink,food-prepared,656,U+1F969,POSITIVE,0.8822157979011536
🥓,bacon,bacon | breakfast | food | meat,Food & Drink,food-prepared,657,U+1F953,POSITIVE,0.9991794228553772
🍔,hamburger,burger | hamburger,Food & Drink,food-prepared,658,U+1F354,POSITIVE,0.6831914782524109
🍟,french fries,french | fries,Food & Drink,food-prepared,659,U+1F35F,POSITIVE,0.9448499083518982
🍕,pizza,cheese | pizza | slice,Food & Drink,food-prepared,660,U+1F355,POSITIVE,0.6310959458351135
🌭,hot dog,frankfurter | hot dog | hotdog | sausage,Food & Drink,food-prepared,661,U+1F32D,POSITIVE,0.9702336192131042
🥪,sandwich,bread | sandwich,Food & Drink,food-prepared,662,U+1F96A,POSITIVE,0.8710280656814575
🌮,taco,mexican | taco,Food & Drink,food-prepared,663,U+1F32E,POSITIVE,0.6380459070205688
🌯,burrito,burrito | mexican | wrap,Food & Drink,food-prepared,664,U+1F32F,POSITIVE,0.9946467280387878
🥙,stuffed flatbread,falafel | flatbread | food | gyro | kebab | stuffed,Food & Drink,food-prepared,665,U+1F959,POSITIVE,0.9993815422058105
🧆,falafel,chickpea | falafel | meatball,Food & Drink,food-prepared,666,U+1F9C6,POSITIVE,0.9993267059326172
🥚,egg,breakfast | egg | food,Food & Drink,food-prepared,667,U+1F95A,POSITIVE,0.997715950012207
🍳,cooking,breakfast | cooking | egg | frying | pan,Food & Drink,food-prepared,668,U+1F373,POSITIVE,0.9986298084259033
🥘,shallow pan of food,casserole | food | paella | pan | shallow | shallow pan of food,Food & Drink,food-prepared,669,U+1F958,NEGATIVE,0.9999152421951294
🍲,pot of food,pot | pot of food | stew,Food & Drink,food-prepared,670,U+1F372,POSITIVE,0.9957262277603149
🥣,bowl with spoon,bowl with spoon | breakfast | cereal | congee | oatmeal | porridge,Food & Drink,food-prepared,671,U+1F963,POSITIVE,0.9895675778388977
🥗,green salad,food | green | salad,Food & Drink,food-prepared,672,U+1F957,POSITIVE,0.9991517066955566
🍿,popcorn,popcorn,Food & Drink,food-prepared,673,U+1F37F,POSITIVE,0.999771773815155
🧈,butter,butter | dairy,Food & Drink,food-prepared,674,U+1F9C8,POSITIVE,0.976409912109375
🧂,salt,condiment | salt | shaker,Food & Drink,food-prepared,675,U+1F9C2,POSITIVE,0.9965554475784302
🥫,canned food,can | canned food,Food & Drink,food-prepared,676,U+1F96B,NEGATIVE,0.9981843829154968
🍱,bento box,bento | box,Food & Drink,food-asian,677,U+1F371,NEGATIVE,0.9673910737037659
🍘,rice cracker,cracker | rice,Food & Drink,food-asian,678,U+1F358,POSITIVE,0.5941638350486755
🍙,rice ball,ball | Japanese | rice,Food & Drink,food-asian,679,U+1F359,NEGATIVE,0.854095995426178
🍚,cooked rice,cooked | rice,Food & Drink,food-asian,680,U+1F35A,POSITIVE,0.9515061974525452
🍛,curry rice,curry | rice,Food & Drink,food-asian,681,U+1F35B,POSITIVE,0.724514901638031
🍜,steaming bowl,bowl | noodle | ramen | steaming,Food & Drink,food-asian,682,U+1F35C,POSITIVE,0.9996832609176636
🍝,spaghetti,pasta | spaghetti,Food & Drink,food-asian,683,U+1F35D,POSITIVE,0.9444115161895752
🍠,roasted sweet potato,potato | roasted | sweet,Food & Drink,food-asian,684,U+1F360,POSITIVE,0.8660072684288025
🍢,oden,kebab | oden | seafood | skewer | stick,Food & Drink,food-asian,685,U+1F362,POSITIVE,0.9986523985862732
🍣,sushi,sushi,Food & Drink,food-asian,686,U+1F363,POSITIVE,0.994492769241333
🍤,fried shrimp,fried | prawn | shrimp | tempura,Food & Drink,food-asian,687,U+1F364,POSITIVE,0.6932608485221863
🍥,fish cake with swirl,cake | fish | fish cake with swirl | pastry | swirl,Food & Drink,food-asian,688,U+1F365,POSITIVE,0.9698180556297302
🥮,moon cake,autumn | festival | moon cake | yuèbǐng,Food & Drink,food-asian,689,U+1F96E,POSITIVE,0.9969797134399414
🍡,dango,dango | dessert | Japanese | skewer | stick | sweet,Food & Drink,food-asian,690,U+1F361,POSITIVE,0.9976468682289124
🥟,dumpling,dumpling | empanada | gyōza | jiaozi | pierogi | potsticker,Food & Drink,food-asian,691,U+1F95F,POSITIVE,0.9934169054031372
🥠,fortune cookie,fortune cookie | prophecy,Food & Drink,food-asian,692,U+1F960,NEGATIVE,0.8774826526641846
🥡,takeout box,oyster pail | takeout box,Food & Drink,food-asian,693,U+1F961,POSITIVE,0.7153320908546448
🦀,crab,Cancer | crab | zodiac,Food & Drink,food-marine,694,U+1F980,NEGATIVE,0.9998121857643127
🦞,lobster,bisque | claws | lobster | seafood,Food & Drink,food-marine,695,U+1F99E,POSITIVE,0.9992536902427673
🦐,shrimp,food | shellfish | shrimp | small,Food & Drink,food-marine,696,U+1F990,NEGATIVE,0.8677254319190979
🦑,squid,food | molusc | squid,Food & Drink,food-marine,697,U+1F991,POSITIVE,0.582027792930603
🦪,oyster,diving | oyster | pearl,Food & Drink,food-marine,698,U+1F9AA,POSITIVE,0.9978559613227844
🍦,soft ice cream,cream | dessert | ice | icecream | soft | sweet,Food & Drink,food-sweet,699,U+1F366,POSITIVE,0.9999067783355713
🍧,shaved ice,dessert | ice | shaved | sweet,Food & Drink,food-sweet,700,U+1F367,POSITIVE,0.9951866269111633
🍨,ice cream,cream | dessert | ice | sweet,Food & Drink,food-sweet,701,U+1F368,POSITIVE,0.9998200535774231
🍩,doughnut,breakfast | dessert | donut | doughnut | sweet,Food & Drink,food-sweet,702,U+1F369,POSITIVE,0.999704897403717
🍪,cookie,cookie | dessert | sweet,Food & Drink,food-sweet,703,U+1F36A,POSITIVE,0.9996232986450195
🎂,birthday cake,birthday | cake | celebration | dessert | pastry | sweet,Food & Drink,food-sweet,704,U+1F382,POSITIVE,0.9998742341995239
🍰,shortcake,cake | dessert | pastry | shortcake | slice | sweet,Food & Drink,food-sweet,705,U+1F370,POSITIVE,0.9997884631156921
🧁,cupcake,bakery | cupcake | sweet,Food & Drink,food-sweet,706,U+1F9C1,POSITIVE,0.9995349645614624
🥧,pie,filling | pastry | pie | fruit | meat,Food & Drink,food-sweet,707,U+1F967,POSITIVE,0.9991939663887024
🍫,chocolate bar,bar | chocolate | dessert | sweet,Food & Drink,food-sweet,708,U+1F36B,POSITIVE,0.9996135830879211
🍬,candy,candy | dessert | sweet,Food & Drink,food-sweet,709,U+1F36C,POSITIVE,0.9997859597206116
🍭,lollipop,candy | dessert | lollipop | sweet,Food & Drink,food-sweet,710,U+1F36D,POSITIVE,0.9999493360519409
🍮,custard,custard | dessert | pudding | sweet,Food & Drink,food-sweet,711,U+1F36E,POSITIVE,0.9998083710670471
🍯,honey pot,honey | honeypot | pot | sweet,Food & Drink,food-sweet,712,U+1F36F,POSITIVE,0.9997631907463074
🍼,baby bottle,baby | bottle | drink | milk,Food & Drink,drink,713,U+1F37C,POSITIVE,0.9933189153671265
🥛,glass of milk,drink | glass | glass of milk | milk,Food & Drink,drink,714,U+1F95B,POSITIVE,0.9374609589576721
